restaurant_name,rating,avg_cost,area,primary_cuisine,cluster_name
Ammus Hot N Cool,3.4,300.0,"Byresandra,Tavarekere,Madiwala",North Indian,Budget-Friendly
Amnesia - The Poolside Bar,3.7,2000.0,Brigade Road,North Indian,Luxury Premium
Amoeba Sports Bar,3.9,1000.0,Brookefield,Continental,Luxury Premium
Amontron,3.9,650.0,Bannerghatta Road,Bengali,Luxury Premium
Amour Fine Patisserie,4.0,500.0,Hsr,Cafe,Luxury Premium
Amravathi Restaurants & Caterers,3.1,400.0,"Byresandra,Tavarekere,Madiwala",North Indian,Mid-Range
Amrit,3.4,600.0,"Byresandra,Tavarekere,Madiwala",North Indian,Luxury Premium
Amrita Nadia Sweets,3.2,400.0,New Bel Road,Mithai,Mid-Range
Amrith Ice Cream,4.1,100.0,Malleshwaram,Ice Cream,Budget-Friendly
Amritsari Kulcha Bite,3.9,150.0,Indiranagar,North Indian,Budget-Friendly
Amritsari Kulcha Land,4.0,300.0,"Byresandra,Tavarekere,Madiwala",North Indian,Budget-Friendly
Amrut,3.5,300.0,Malleshwaram,North Indian,Budget-Friendly
Amruta,3.8,600.0,Lavelle Road,South Indian,Luxury Premium
Amruth Parkland,3.5,900.0,Sarjapur Road,North Indian,Luxury Premium
Amrutha Foods,2.8,300.0,Marathahalli,South Indian,Budget-Friendly
Amrutha Grand Restaurant,3.2,500.0,Bellandur,North Indian,Luxury Premium
Amrutha Mess,3.4,300.0,"Byresandra,Tavarekere,Madiwala",Kerala,Budget-Friendly
